tag	board_cer%	host_ref_cer%	board_s	host_ref_s	text	board_hyp	host_hyp
zh_short	0.0	0.0	3.2	3.28	今天天气不错，我们一起去公园散步吧。	今天天气不错我们一起去公园散步吧	今天天气不错我们一起去公园散步吧
zh_notice	0.0	0.0	9.2	9.28	欢迎使用图灵云语音合成服务!我们提供高质量的中文语音合成技术，支持多种音色和语音参数调节。	欢迎使用图灵云语音合成服务我们提供高质量的中文语音合成技术支持多种音色和语音参数调节	欢迎使用图灵云语音合成服务我们提供高质量的中文语音合成技术支持多种音色和语音参数调节
zh_long	0.0	0.0	19.2	18.48	人工智能正在改变我们的生活方式。从智能手机到自动驾驶汽车，从语音助手到机器翻译，这些技术都在不断提升我们的工作效率。未来，随着算力的增长和算法的进步，我们将会看到更多令人惊叹的应用场景。	人工智能正在改变我们的生活方式从智能手机到自动驾驶汽车从语音助手到机器翻译这些技术都在不断提升我们的工作效率未来随着算力的增长和算法的进步我们将会看到更多令人惊叹的应用场景	人工智能正在改变我们的生活方式从智能手机到自动驾驶汽车从语音助手到机器翻译这些技术都在不断提升我们的工作效率未来随着算力的增长和算法的进步我们将会看到更多令人惊叹的应用场景
en_short	0.0	0.0	3.6	3.76	The train arrived before sunset, and the station became quiet.	thetrainarrivedbeforesunsetandthestationbecamequiet	thetrainarrivedbeforesunsetandthestationbecamequiet
mix_short	0.0	0.0	7.2	7.12	我们用 Pocket TTS 生成一段中英混合语音，support both Chinese and English.	我们用pockettts生成一段中英混合语音supportbothchineseandenglish	我们用pockettts生成一段中英混合语音supportbothchineseandenglish
zh_tongue	25.0	31.25	5.76	5.92	四是四，十是十，十四是十四，四十是四十。	四十四十是十十十十四十是四十	四十四十是十是十是十是十是四十
zh_duoyin	0.0	0.0	5.52	5.28	银行行长在音乐会上重新调整了重要文件的处理方式。	银行行长在音乐会上重新调整了重要文件的处理方式	银行行长在音乐会上重新调整了重要文件的处理方式
zh_number	0.0	0.0	6.72	6.32	订单号是二零二六年三月十五日，单价一百二十八元，共三件。	订单号是二零二六年三月十五日单价一百二十八元共三件	订单号是二零二六年三月十五日单价一百二十八元共三件
zh_brand	0.0	0.0	4.08	3.84	图灵云、微信、支付宝和淘宝都是常用的应用。	图灵云微信支付宝和淘宝都是常用的应用	图灵云微信支付宝和淘宝都是常用的应用
en_long	0.0	0.0	7.28	7.36	Autumn arrived early that year, and the narrow streets were covered with leaves as the old clock tower struck six in the evening.	autumnarrivedearlythatyearandthenarrowstreetswerecoveredwithleavesastheoldclocktowerstrucksixintheevening	autumnarrivedearlythatyearandthenarrowstreetswerecoveredwithleavesastheoldclocktowerstrucksixintheevening
mix_long	9.26	12.96	8.56	7.2	欢迎体验我们的语音合成 Demo，它支持 voice cloning 和 bilingual synthesis，效果怎么样？	欢迎体验我们的语音合成demo它支持voicecloning和bilingualsentence效果怎么样	欢迎体验我们的语音合成demomo它支持voicecloning和bilingualsentences效果怎么样
